user,location,tweet,Date,Tweet Coordinates
pakistan_realme,Pakistan,"The amazing #realmeC15 is coming at an exclusive price of Rs.20,999 on Daraz 12.12. It's packed with a 6000mAh Batt… https://t.co/WFSnLmN20c",2020-12-06 10:00:01,
LM_shootingclub,"B76 0DA, Blackgreaves Ln","Purchase Quad Trekking gift vouchers now!

£39 for one, £75 for two, and ONLY £150 for four!… https://t.co/GXledVB1zO",2020-12-06 10:00:01,
HeartAtul,India,"All BB13 viewers will watch BBB3 💯🤣🤣🕺🕺

#SidHearts, SidNaazians, Shehnaazians, Asim Quad, Rashmians, Salmaniacs ..… https://t.co/zG9Qb83XT4",2020-12-06 09:58:23,
lulu_beeP,Cape town,"Yesterday things🥰😍
Quad bike ticked off the bucket list https://t.co/Iyg85PZDRg",2020-12-06 09:58:16,
aml_12_18,,Quad doms are annoying because your feel it with every other exercise that needs stability.,2020-12-06 09:58:03,
wy7ohs,south australia,"RT @LJayyV: How to start a game in style.. Rolling Quad headshot!
plus a near quad headshot feed 2 games later..
#LJayy7 https://t.co/k1Saj…",2020-12-06 09:55:13,
LJayyV,Australia,"How to start a game in style.. Rolling Quad headshot!
plus a near quad headshot feed 2 games later..
#LJayy7 https://t.co/k1SajbMWa0",2020-12-06 09:54:32,
wangxueqingtvpd,China beijing,RT @Camplex_Fiber: Camplex's new opticalCON couplers are simple solutions to join opticalCON DUO or QUAD cables together with minimal loss.…,2020-12-06 09:54:06,
alaa_express,united,Global Version Xiaomi Mi TV Stick 1080P Dolby DTS HD Decoding Android TV 9.0 Quad-core 1GB RAM 8GB ROM Google Assis… https://t.co/O5l765zumq,2020-12-06 09:53:39,
Aeljik,Sure,"RT @PunishedNixon: I decided to try my hand at something new, a humanoid mech.

Here is the Foch, a four meter tall machine intended to for…",2020-12-06 09:52:20,
suteepans,Please follow me.,") 6.7″, 64MP Quad Camera, 25W Fast Charger, Android 10, GSM Unlocked US + Global 4G LTE International Model A715F/D https://t.co/3bN9aDy8iw",2020-12-06 09:51:59,
DavyGavin1,Scotland,Just made some really big Scottish baps this morning. Going to go down heart attack alley and have a triple burger… https://t.co/oJXMqKMOvl,2020-12-06 09:51:05,
sophanderson1,"Hartlepool, England",Jordan actually thinks I’m getting on the back of his quad today🤣🤣,2020-12-06 09:50:55,
sunil_pandey91,"New Delhi, India","Redmi 9 Prime (Matte Black, 4GB RAM, 64GB Storage) - Full HD+ Display &amp; AI Quad Camera… https://t.co/NqIO5Tx2wB",2020-12-06 09:48:12,
mina_serenity,,My favorite younger day. I remembered buying these either be at the Quad(now Glorietta)or at Shangrila. Nice good o… https://t.co/ChDpYIrTpP,2020-12-06 09:46:11,
